
[[  0.         100.        ]
 [  1.          98.05050505]
 [  2.          97.71717172]
 [  3.          95.97979798]
 [  4.          95.62626263]
 [  5.          94.53535354]
 [  6.          93.05050505]
 [  7.          91.82828283]
 [  8.          90.76767677]
 [  9.          89.72727273]
 [ 10.          88.29292929]
 [ 11.          86.87878788]
 [ 12.          85.94949495]
 [ 13.          85.42424242]
 [ 14.          84.87878788]
 [ 15.          84.15151515]
 [ 16.          83.11111111]
 [ 17.          82.73737374]
 [ 18.          82.05050505]
 [ 19.          81.11111111]
 [ 20.          80.17171717]
 [ 21.          78.87878788]
 [ 22.          78.80808081]
 [ 23.          78.01010101]
 [ 24.          77.07070707]
 [ 25.          76.51515152]
 [ 26.          75.27272727]
 [ 27.          74.58585859]
 [ 28.          74.25252525]
 [ 29.          73.92929293]
 [ 30.          73.57575758]
 [ 31.          72.7979798 ]
 [ 32.          72.06060606]
 [ 33.          71.73737374]
 [ 34.          70.85858586]
 [ 35.          70.43434343]
 [ 36.          69.44444444]
 [ 37.          68.60606061]
 [ 38.          67.61616162]
 [ 39.          66.70707071]
 [ 40.          65.42424242]
 [ 41.          64.44444444]
 [ 42.          63.90909091]
 [ 43.          63.36363636]
 [ 44.          62.47474747]
 [ 45.          61.74747475]
 [ 46.          61.65656566]
 [ 47.          60.63636364]
 [ 48.          59.91919192]
 [ 49.          59.5959596 ]
 [ 50.          58.87878788]]

[[ 0.          0.        ]
 [ 0.          5.03597911]
 [ 0.          6.36600886]
 [ 0.          7.58517933]
 [ 0.          8.61591886]
 [ 0.          9.54342878]
 [ 0.         10.19246477]
 [ 0.         11.14553895]
 [ 0.         11.90350791]
 [ 0.         12.8076825 ]
 [ 0.         13.88644607]
 [ 0.         14.3183662 ]
 [ 0.         15.67625351]
 [ 0.         15.61732456]
 [ 0.         16.11779412]
 [ 0.         16.54584304]
 [ 0.         17.01923385]
 [ 0.         17.81248334]
 [ 0.         17.88649608]
 [ 0.         17.45348154]
 [ 0.         17.67040578]
 [ 0.         17.34456089]
 [ 0.         18.21070657]
 [ 0.         17.75790901]
 [ 0.         17.21536343]
 [ 0.         17.55013807]
 [ 0.         17.20924005]
 [ 0.         17.79173006]
 [ 0.         18.03663132]
 [ 0.         17.97430968]
 [ 0.         17.50560713]
 [ 0.         17.70691801]
 [ 0.         17.8313186 ]
 [ 0.         18.10942378]
 [ 0.         17.69323908]
 [ 0.         17.60404087]
 [ 0.         17.31538828]
 [ 0.         18.1852522 ]
 [ 0.         17.94869629]
 [ 0.         18.01080065]
 [ 0.         17.32814078]
 [ 0.         16.90629088]
 [ 0.         16.88708245]
 [ 0.         17.20315601]
 [ 0.         17.39112942]
 [ 0.         17.11360935]
 [ 0.         17.40495785]
 [ 0.         17.31610714]
 [ 0.         17.93347796]
 [ 0.         18.06213697]
 [ 0.         18.1231883 ]]
