time	X
0.0	100.0
1.0	89.0
2.0	103.0
3.0	100.0
4.0	96.0
5.0	100.0
6.0	102.0
7.0	96.0
8.0	100.0
9.0	103.0
10.0	108.0
11.0	110.0
12.0	111.0
13.0	111.0
14.0	108.0
15.0	111.0
16.0	116.0
17.0	114.0
18.0	118.0
19.0	116.0
20.0	109.0
21.0	117.0
22.0	111.0
23.0	112.0
24.0	115.0
25.0	105.0
26.0	106.0
27.0	103.0
28.0	101.0
29.0	97.0
30.0	99.0
31.0	95.0
32.0	90.0
33.0	89.0
34.0	84.0
35.0	78.0
36.0	70.0
37.0	71.0
38.0	72.0
39.0	74.0
40.0	79.0
41.0	75.0
42.0	75.0
43.0	71.0
44.0	74.0
45.0	68.0
46.0	73.0
47.0	65.0
48.0	65.0
49.0	65.0
50.0	63.0
0.0	100.0
1.0	93.0
2.0	97.0
3.0	94.0
4.0	95.0
5.0	93.0
6.0	89.0
7.0	85.0
8.0	80.0
9.0	77.0
10.0	71.0
11.0	68.0
12.0	61.0
13.0	59.0
14.0	64.0
15.0	62.0
16.0	56.0
17.0	55.0
18.0	53.0
19.0	55.0
20.0	57.0
21.0	63.0
22.0	62.0
23.0	58.0
24.0	58.0
25.0	56.0
26.0	58.0
27.0	53.0
28.0	51.0
29.0	53.0
30.0	58.0
31.0	57.0
32.0	52.0
33.0	55.0
34.0	55.0
35.0	52.0
36.0	58.0
37.0	66.0
38.0	68.0
39.0	65.0
40.0	69.0
41.0	68.0
42.0	70.0
43.0	68.0
44.0	63.0
45.0	58.0
46.0	59.0
47.0	53.0
48.0	55.0
49.0	60.0
50.0	66.0
0.0	100.0
1.0	99.0
2.0	87.0
3.0	89.0
4.0	93.0
5.0	86.0
6.0	90.0
7.0	84.0
8.0	89.0
9.0	83.0
10.0	81.0
11.0	75.0
12.0	82.0
13.0	78.0
14.0	74.0
15.0	77.0
16.0	81.0
17.0	85.0
18.0	84.0
19.0	77.0
20.0	70.0
21.0	65.0
22.0	68.0
23.0	70.0
24.0	68.0
25.0	67.0
26.0	65.0
27.0	62.0
28.0	58.0
29.0	59.0
30.0	62.0
31.0	60.0
32.0	63.0
33.0	68.0
34.0	67.0
35.0	66.0
36.0	66.0
37.0	62.0
38.0	59.0
39.0	63.0
40.0	61.0
41.0	59.0
42.0	53.0
43.0	57.0
44.0	57.0
45.0	57.0
46.0	55.0
47.0	60.0
48.0	58.0
49.0	58.0
50.0	61.0
0.0	100.0
1.0	95.0
2.0	92.0
3.0	96.0
4.0	103.0
5.0	102.0
6.0	101.0
7.0	96.0
8.0	95.0
9.0	93.0
10.0	98.0
11.0	91.0
12.0	92.0
13.0	93.0
14.0	87.0
15.0	80.0
16.0	77.0
17.0	80.0
18.0	78.0
19.0	73.0
20.0	77.0
21.0	84.0
22.0	77.0
23.0	79.0
24.0	82.0
25.0	81.0
26.0	75.0
27.0	73.0
28.0	66.0
29.0	71.0
30.0	71.0
31.0	68.0
32.0	69.0
33.0	70.0
34.0	73.0
35.0	73.0
36.0	75.0
37.0	73.0
38.0	68.0
39.0	73.0
40.0	72.0
41.0	81.0
42.0	78.0
43.0	83.0
44.0	81.0
45.0	73.0
46.0	74.0
47.0	75.0
48.0	78.0
49.0	79.0
50.0	83.0
0.0	100.0
1.0	101.0
2.0	93.0
3.0	94.0
4.0	86.0
5.0	85.0
6.0	85.0
7.0	84.0
8.0	90.0
9.0	89.0
10.0	86.0
11.0	90.0
12.0	94.0
13.0	94.0
14.0	97.0
15.0	107.0
16.0	109.0
17.0	106.0
18.0	100.0
19.0	103.0
20.0	98.0
21.0	97.0
22.0	102.0
23.0	101.0
24.0	96.0
25.0	103.0
26.0	111.0
27.0	98.0
28.0	97.0
29.0	90.0
30.0	91.0
31.0	90.0
32.0	91.0
33.0	95.0
34.0	89.0
35.0	86.0
36.0	88.0
37.0	82.0
38.0	80.0
39.0	84.0
40.0	86.0
41.0	81.0
42.0	74.0
43.0	82.0
44.0	80.0
45.0	71.0
46.0	76.0
47.0	75.0
48.0	72.0
49.0	77.0
50.0	85.0
0.0	100.0
1.0	101.0
2.0	96.0
3.0	88.0
4.0	87.0
5.0	80.0
6.0	83.0
7.0	81.0
8.0	80.0
9.0	74.0
10.0	76.0
11.0	70.0
12.0	74.0
13.0	72.0
14.0	69.0
15.0	72.0
16.0	71.0
17.0	72.0
18.0	76.0
19.0	75.0
20.0	74.0
21.0	68.0
22.0	71.0
23.0	71.0
24.0	67.0
25.0	66.0
26.0	64.0
27.0	61.0
28.0	61.0
29.0	63.0
30.0	57.0
31.0	60.0
32.0	59.0
33.0	60.0
34.0	57.0
35.0	50.0
36.0	51.0
37.0	46.0
38.0	50.0
39.0	48.0
40.0	52.0
41.0	51.0
42.0	50.0
43.0	51.0
44.0	53.0
45.0	51.0
46.0	53.0
47.0	53.0
48.0	52.0
49.0	51.0
50.0	52.0
0.0	100.0
1.0	92.0
2.0	88.0
3.0	93.0
4.0	80.0
5.0	69.0
6.0	65.0
